Model_ID,Batch_Size,Seq_Length,Offset,D_Model,N_Head,FF_Dim,Num_Layers,Kernel_Size,Model_File,Log_File,Test_Accuracy
212db4d9-968e-466f-8afd-6f7f9bf16d15,8,14,1,32,2,32,3,1,model_212db4d9-968e-466f-8afd-6f7f9bf16d15.pt,training_log_212db4d9-968e-466f-8afd-6f7f9bf16d15.txt,0.9027777777777778
18c8db83-a6a4-4ffc-9d87-b05ab249d78f,8,14,1,32,2,32,3,3,model_18c8db83-a6a4-4ffc-9d87-b05ab249d78f.pt,training_log_18c8db83-a6a4-4ffc-9d87-b05ab249d78f.txt,0.9583333333333334
32600476-142f-498b-a697-a8b5ffd7ce12,8,14,1,32,4,32,2,1,model_32600476-142f-498b-a697-a8b5ffd7ce12.pt,training_log_32600476-142f-498b-a697-a8b5ffd7ce12.txt,0.875
8ffca019-6740-49bf-b799-2f6491532109,8,14,1,32,4,32,2,3,model_8ffca019-6740-49bf-b799-2f6491532109.pt,training_log_8ffca019-6740-49bf-b799-2f6491532109.txt,0.9166666666666666
0cb7fb76-e3da-492d-a5fc-ff121aac0bff,8,14,1,32,4,32,3,1,model_0cb7fb76-e3da-492d-a5fc-ff121aac0bff.pt,training_log_0cb7fb76-e3da-492d-a5fc-ff121aac0bff.txt,0.9444444444444444
530b417a-1a5d-4a07-ac86-b3a2057507be,8,14,1,32,4,32,3,3,model_530b417a-1a5d-4a07-ac86-b3a2057507be.pt,training_log_530b417a-1a5d-4a07-ac86-b3a2057507be.txt,0.9305555555555556
83cd0724-53b8-4bf5-8d40-6f70e467eca0,8,14,2,16,2,16,2,1,model_83cd0724-53b8-4bf5-8d40-6f70e467eca0.pt,training_log_83cd0724-53b8-4bf5-8d40-6f70e467eca0.txt,0.8888888888888888
425e0879-6869-48bb-afb2-5b7cb4364a93,8,14,2,16,2,16,2,3,model_425e0879-6869-48bb-afb2-5b7cb4364a93.pt,training_log_425e0879-6869-48bb-afb2-5b7cb4364a93.txt,0.875
95e87e19-6d6a-46df-8a51-7ad0d8ee3d62,8,14,2,16,2,16,3,1,model_95e87e19-6d6a-46df-8a51-7ad0d8ee3d62.pt,training_log_95e87e19-6d6a-46df-8a51-7ad0d8ee3d62.txt,0.9166666666666666
27cf9f16-0888-42b7-94da-f9a8a0742444,8,14,2,16,2,16,3,3,model_27cf9f16-0888-42b7-94da-f9a8a0742444.pt,training_log_27cf9f16-0888-42b7-94da-f9a8a0742444.txt,0.9166666666666666
aa0e79de-de0b-400e-9b8b-b6b755146673,8,14,2,16,2,32,2,1,model_aa0e79de-de0b-400e-9b8b-b6b755146673.pt,training_log_aa0e79de-de0b-400e-9b8b-b6b755146673.txt,0.9166666666666666
3043a7f2-31f4-43b4-887a-9c787ca4fb69,8,14,2,16,2,32,2,3,model_3043a7f2-31f4-43b4-887a-9c787ca4fb69.pt,training_log_3043a7f2-31f4-43b4-887a-9c787ca4fb69.txt,0.9166666666666666
a43f2627-f9b4-4a9e-8399-987c52bb228c,8,14,2,16,2,32,3,1,model_a43f2627-f9b4-4a9e-8399-987c52bb228c.pt,training_log_a43f2627-f9b4-4a9e-8399-987c52bb228c.txt,0.9305555555555556
06335e9d-71a8-43b3-b2f1-3cd4432b1e91,8,14,2,16,2,32,3,3,model_06335e9d-71a8-43b3-b2f1-3cd4432b1e91.pt,training_log_06335e9d-71a8-43b3-b2f1-3cd4432b1e91.txt,0.8611111111111112
30e91958-c395-4665-90aa-af646471fbe3,8,14,2,16,4,16,2,1,model_30e91958-c395-4665-90aa-af646471fbe3.pt,training_log_30e91958-c395-4665-90aa-af646471fbe3.txt,0.875
cd9de4ea-6d56-4f8f-a7e9-945d322b65c7,8,14,2,16,4,16,2,3,model_cd9de4ea-6d56-4f8f-a7e9-945d322b65c7.pt,training_log_cd9de4ea-6d56-4f8f-a7e9-945d322b65c7.txt,0.9305555555555556
b65feb92-009a-4ab1-934f-dfbf9d50dd3f,8,14,2,16,4,16,3,1,model_b65feb92-009a-4ab1-934f-dfbf9d50dd3f.pt,training_log_b65feb92-009a-4ab1-934f-dfbf9d50dd3f.txt,0.9027777777777778
9a0fc336-1994-424f-8545-09ad783bf4d5,8,14,2,16,4,16,3,3,model_9a0fc336-1994-424f-8545-09ad783bf4d5.pt,training_log_9a0fc336-1994-424f-8545-09ad783bf4d5.txt,0.9027777777777778
132f76ad-e989-4b4e-ad47-7868e946f867,8,14,2,16,4,32,2,1,model_132f76ad-e989-4b4e-ad47-7868e946f867.pt,training_log_132f76ad-e989-4b4e-ad47-7868e946f867.txt,0.8888888888888888
3dc3ea0c-addc-4b6f-b18a-1b8872f1ad4a,8,14,2,16,4,32,2,3,model_3dc3ea0c-addc-4b6f-b18a-1b8872f1ad4a.pt,training_log_3dc3ea0c-addc-4b6f-b18a-1b8872f1ad4a.txt,0.9027777777777778
485dcfc8-9e03-4a73-aeca-107e749f535e,8,14,2,16,4,32,3,1,model_485dcfc8-9e03-4a73-aeca-107e749f535e.pt,training_log_485dcfc8-9e03-4a73-aeca-107e749f535e.txt,0.9305555555555556
6a302b1d-c117-431c-b6e2-5f0f284f6a60,8,14,2,16,4,32,3,3,model_6a302b1d-c117-431c-b6e2-5f0f284f6a60.pt,training_log_6a302b1d-c117-431c-b6e2-5f0f284f6a60.txt,0.9027777777777778
64788f82-59e4-4ef0-9968-4b9a1d1a8b44,8,14,2,32,2,32,2,1,model_64788f82-59e4-4ef0-9968-4b9a1d1a8b44.pt,training_log_64788f82-59e4-4ef0-9968-4b9a1d1a8b44.txt,0.9166666666666666
d13021ae-6191-4f71-811a-c459c6d9a86e,8,14,2,32,2,32,2,3,model_d13021ae-6191-4f71-811a-c459c6d9a86e.pt,training_log_d13021ae-6191-4f71-811a-c459c6d9a86e.txt,0.9166666666666666
f969d783-1fe9-4e20-9a36-e14c203549b8,8,14,2,32,2,32,3,1,model_f969d783-1fe9-4e20-9a36-e14c203549b8.pt,training_log_f969d783-1fe9-4e20-9a36-e14c203549b8.txt,0.875
7fb02b93-c5e7-4fb9-b8bd-4e4700cb1311,8,14,2,32,2,32,3,3,model_7fb02b93-c5e7-4fb9-b8bd-4e4700cb1311.pt,training_log_7fb02b93-c5e7-4fb9-b8bd-4e4700cb1311.txt,0.9027777777777778
b729c456-3858-4fd0-ae93-9ec50ab5ab14,8,14,2,32,4,32,2,1,model_b729c456-3858-4fd0-ae93-9ec50ab5ab14.pt,training_log_b729c456-3858-4fd0-ae93-9ec50ab5ab14.txt,0.9166666666666666
df11c0e7-4ff2-4c4b-a436-ecd6150db294,8,14,2,32,4,32,2,3,model_df11c0e7-4ff2-4c4b-a436-ecd6150db294.pt,training_log_df11c0e7-4ff2-4c4b-a436-ecd6150db294.txt,0.9166666666666666
5d5ffd88-54a2-4337-b2ec-9809ea233ed4,8,14,2,32,4,32,3,1,model_5d5ffd88-54a2-4337-b2ec-9809ea233ed4.pt,training_log_5d5ffd88-54a2-4337-b2ec-9809ea233ed4.txt,0.9305555555555556
1a56ea3b-c169-4d6b-9a6f-3db21f7fe4df,8,14,2,32,4,32,3,3,model_1a56ea3b-c169-4d6b-9a6f-3db21f7fe4df.pt,training_log_1a56ea3b-c169-4d6b-9a6f-3db21f7fe4df.txt,0.9027777777777778
